등록일시,대여건수
2021-10-31,"96,432"
2021-11-01,"119,911"
2021-11-02,"128,186"
2021-11-03,"129,594"
2021-11-04,"123,993"
2021-11-05,"130,048"
2021-11-06,"118,833"
2021-11-07,"111,896"
2021-11-08,"18,569"
2021-11-09,"38,917"
2021-11-10,"82,413"
2021-11-11,"93,961"
2021-11-12,"93,366"
2021-11-13,"89,598"
2021-11-14,"88,655"
2021-11-15,"107,707"
2021-11-16,"108,002"
2021-11-17,"108,450"
2021-11-18,"105,793"
2021-11-19,"113,731"
2021-11-20,"87,061"
2021-11-21,"65,968"
2021-11-22,"72,570"
2021-11-23,"73,003"
2021-11-24,"87,852"
2021-11-25,"91,716"
2021-11-26,"85,807"
2021-11-27,"71,353"
2021-11-28,"66,888"
2021-11-29,"94,863"
2021-11-30,"28,587"
2021-12-01,"62,785"
2021-12-02,"65,547"
2021-12-03,"70,087"
2021-12-04,"59,475"
2021-12-05,"58,055"
2021-12-06,"84,020"
2021-12-07,"89,379"
2021-12-08,"90,993"
2021-12-09,"88,633"
2021-12-10,"73,232"
2021-12-11,"69,787"
2021-12-12,"46,233"
2021-12-13,"62,218"
2021-12-14,"56,280"
2021-12-15,"67,884"
2021-12-16,"80,657"
2021-12-17,"48,342"
2021-12-18,"23,784"
2021-12-19,"19,804"
2021-12-20,"63,330"
2021-12-21,"71,556"
2021-12-22,"73,644"
2021-12-23,"75,058"
2021-12-24,"55,216"
2021-12-25,"18,859"
2021-12-26,"16,485"
2021-12-27,"42,521"
2021-12-28,"51,268"
2021-12-29,"52,017"
2021-12-30,"48,993"
2021-12-31,"40,604"
2021-02-01,"41,152"
2021-02-02,"31,136"
2021-02-03,"31,016"
2021-02-04,"20,201"
2021-02-05,"37,675"
2021-02-06,"41,507"
2021-02-07,"35,676"
2021-02-08,"34,253"
2021-02-09,"41,159"
2021-02-10,"46,659"
2021-02-11,"37,794"
2021-02-12,"38,251"
2021-02-13,"51,329"
2021-02-14,"44,734"
2021-02-15,"32,504"
2021-02-16,"23,008"
2021-02-17,"23,281"
2021-02-18,"30,267"
2021-02-19,"45,223"
2021-02-20,"60,703"
2021-02-21,"71,467"
2021-02-22,"54,943"
2021-02-23,"45,246"
2021-02-24,"54,470"
2021-02-25,"53,694"
2021-02-26,"67,686"
2021-02-27,"76,214"
2021-02-28,"63,298"
2021-03-01,"2,966"
2021-03-02,"51,013"
2021-03-03,"62,386"
2021-03-04,"66,283"
2021-03-05,"76,821"
2021-03-06,"61,833"
2021-03-07,"72,037"
2021-03-08,"71,470"
2021-03-09,"72,364"
2021-03-10,"77,153"
2021-03-11,"74,080"
2021-03-12,"67,097"
2021-03-13,"79,057"
2021-03-14,"72,694"
2021-03-15,"73,254"
2021-03-16,"71,318"
2021-03-17,"82,757"
2021-03-18,"85,416"
2021-03-19,"98,932"
2021-03-20,"25,486"
2021-03-21,"55,103"
2021-03-22,"75,928"
2021-03-23,"85,788"
2021-03-24,"91,845"
2021-03-25,"94,209"
2021-03-26,"97,153"
2021-03-27,"20,331"
2021-03-28,"32,571"
2021-03-29,"74,935"
2021-03-30,"98,689"
2021-03-31,"113,259"
2021-04-01,"116,640"
2021-04-02,"110,607"
2021-04-03,"14,026"
2021-04-04,"94,160"
2021-04-05,"110,533"
2021-04-06,"114,292"
2021-04-07,"114,207"
2021-04-08,"105,191"
2021-04-09,"113,974"
2021-04-10,"110,980"
2021-04-11,"113,592"
2021-04-12,"28,992"
2021-04-13,"84,172"
2021-04-14,"98,226"
2021-04-15,"108,960"
2021-04-16,"82,177"
2021-04-17,"71,082"
2021-04-18,"100,004"
2021-04-19,"108,598"
2021-04-20,"113,785"
2021-04-21,"119,380"
2021-04-22,"116,722"
2021-04-23,"116,476"
2021-04-24,"118,773"
2021-04-25,"127,151"
2021-04-26,"122,090"
2021-04-27,"103,959"
2021-04-28,"115,380"
2021-04-29,"105,944"
2021-04-30,"83,165"
2021-05-01,"41,123"
2021-05-02,"115,492"
2021-05-03,"122,393"
2021-05-04,"24,069"
2021-05-05,"125,213"
2021-05-06,"121,660"
2021-05-07,"88,097"
2021-05-08,"73,912"
2021-05-09,"114,851"
2021-05-10,"93,814"
2021-05-11,"130,314"
2021-05-12,"130,245"
2021-05-13,"128,298"
2021-05-14,"128,239"
2021-05-15,"36,082"
2021-05-16,"2,514"
2021-05-17,"60,065"
2021-05-18,"127,759"
2021-05-19,"133,864"
2021-05-20,"67,451"
2021-05-21,"78,809"
2021-05-22,"128,763"
2021-05-23,"115,588"
2021-05-24,"122,961"
2021-05-25,"93,453"
2021-05-26,"120,987"
2021-05-27,"74,271"
2021-05-28,"78,928"
2021-05-29,"63,064"
2021-05-30,"92,536"
2021-05-31,"115,335"
2021-06-01,"110,305"
2021-06-02,"130,227"
2021-06-03,"41,123"
2021-06-04,"131,838"
2021-06-05,"127,568"
2021-06-06,"116,208"
2021-06-07,"121,944"
2021-06-08,"129,558"
2021-06-09,"126,823"
2021-06-10,"82,549"
2021-06-11,"120,869"
2021-06-12,"116,059"
2021-06-13,"103,603"
2021-06-14,"128,217"
2021-06-15,"97,851"
2021-06-16,"139,346"
2021-06-17,"115,752"
2021-06-18,"78,992"
2021-06-19,"122,359"
2021-06-20,"114,793"
2021-06-21,"138,150"
2021-06-22,"124,808"
2021-06-23,"126,714"
2021-06-24,"134,714"
2021-06-25,"140,870"
2021-06-26,"105,813"
2021-06-27,"92,869"
2021-06-28,"106,378"
2021-06-29,"111,907"
2021-06-30,"122,200"
2020-07-01,"105,196"
2020-07-02,"107,842"
2020-07-03,"102,753"
2020-07-04,"98,488"
2020-07-05,"104,664"
2020-07-06,"106,825"
2020-07-07,"91,407"
2020-07-08,"105,876"
2020-07-09,"102,828"
2020-07-10,"90,880"
2020-07-11,"103,657"
2020-07-12,"57,367"
2020-07-13,"4,859"
2020-07-14,"85,486"
2020-07-15,"106,949"
2020-07-16,"102,741"
2020-07-17,"99,949"
2020-07-18,"98,309"
2020-07-19,"60,804"
2020-07-20,"72,291"
2020-07-21,"100,825"
2020-07-22,"46,448"
2020-07-23,"10,739"
2020-07-24,"76,995"
2020-07-25,"102,498"
2020-07-26,"94,802"
2020-07-27,"52,922"
2020-07-28,"68,214"
2020-07-29,"31,724"
2020-07-30,"92,468"
2020-07-31,"95,705"
2020-08-01,"34,998"
2020-08-02,"11,491"
2020-08-03,"17,575"
2020-08-04,"49,378"
2020-08-05,"28,751"
2020-08-06,"51,456"
2020-08-07,"78,071"
2020-08-08,"40,020"
2020-08-09,"12,384"
2020-08-10,"23,519"
2020-08-11,"50,974"
2020-08-12,"78,261"
2020-08-13,"79,353"
2020-08-14,"72,875"
2020-08-15,"26,267"
2020-08-16,"66,011"
2020-08-17,"73,368"
2020-08-18,"82,202"
2020-08-19,"84,665"
2020-08-20,"85,420"
2020-08-21,"78,701"
2020-08-22,"40,126"
2020-08-23,"80,594"
2020-08-24,"90,297"
2020-08-25,"87,894"
2020-08-26,"40,169"
2020-08-27,"32,745"
2020-08-28,"62,045"
2020-08-29,"33,797"
2020-08-30,"52,904"
2020-08-31,"87,662"
2020-09-01,"87,892"
2020-09-02,"13,744"
2020-09-03,"71,524"
2020-09-04,"115,059"
2020-09-05,"113,253"
2020-09-06,"54,125"
2020-09-07,"3,144"
2020-09-08,"104,606"
2020-09-09,"75,412"
2020-09-10,"107,150"
2020-09-11,"61,474"
2020-09-12,"44,703"
2020-09-13,"118,921"
2020-09-14,"106,465"
2020-09-15,"111,912"
2020-09-16,"88,745"
2020-09-17,"110,088"
2020-09-18,"118,363"
2020-09-19,"117,633"
2020-09-20,"110,798"
2020-09-21,"108,369"
2020-09-22,"112,619"
2020-09-23,"111,343"
2020-09-24,"111,994"
2020-09-25,"114,720"
2020-09-26,"115,111"
2020-09-27,"109,610"
2020-09-28,"107,714"
2020-09-29,"113,823"
2020-09-30,"71,676"
2020-10-01,"82,099"
2020-10-02,"75,275"
2020-10-03,"97,726"
2020-10-04,"86,091"
2020-10-05,"93,156"
2020-10-06,"100,369"
2020-10-07,"103,348"
2020-10-08,"105,509"
2020-10-09,"104,087"
2020-10-10,"104,678"
2020-10-11,"95,405"
2020-10-12,"97,721"
2020-10-13,"97,160"
2020-10-14,"92,998"
2020-10-15,"92,555"
2020-10-16,"92,609"
2020-10-17,"94,840"
2020-10-18,"89,401"
2020-10-19,"95,110"
2020-10-20,"98,577"
2020-10-21,"96,566"
2020-10-22,"92,100"
2020-10-23,"84,672"
2020-10-24,"77,452"
2020-10-25,"80,497"
2020-10-26,"92,374"
2020-10-27,"95,411"
2020-10-28,"95,033"
2020-10-29,"92,267"
2020-10-30,"97,088"
2020-10-31,"89,444"
2020-11-01,"32,925"
2020-11-02,"86,705"
2020-11-03,"69,439"
2020-11-04,"74,159"
2020-11-05,"85,090"
2020-11-06,"91,815"
2020-11-07,"84,151"
2020-11-08,"62,244"
2020-11-09,"73,482"
2020-11-10,"81,965"
2020-11-11,"86,595"
2020-11-12,"88,193"
2020-11-13,"90,754"
2020-11-14,"81,553"
2020-11-15,"69,098"
2020-11-16,"87,583"
2020-11-17,"81,258"
2020-11-18,"44,452"
2020-11-19,"34,590"
2020-11-20,"60,332"
2020-11-21,"60,290"
2020-11-22,"34,828"
2020-11-23,"58,766"
2020-11-24,"61,865"
2020-11-25,"64,921"
2020-11-26,"64,297"
2020-11-27,"58,092"
2020-11-28,"38,492"
2020-11-29,"32,211"
2020-11-30,"49,925"
2020-12-01,"53,885"
2020-12-02,"55,611"
2020-12-03,"51,533"
2020-12-04,"50,915"
2020-12-05,"42,953"
2020-12-06,"40,616"
2020-12-07,"49,809"
2020-12-08,"47,614"
2020-12-09,"50,476"
2020-12-10,"53,421"
2020-12-11,"53,536"
2020-12-12,"42,146"
2020-12-13,"14,362"
2020-12-14,"28,030"
2020-12-15,"28,028"
2020-12-16,"27,678"
2020-12-17,"32,315"
2020-12-18,"30,195"
2020-12-19,"24,130"
2020-12-20,"23,442"
2020-12-21,"37,286"
2020-12-22,"42,486"
2020-12-23,"42,218"
2020-12-24,"41,102"
2020-12-25,"28,600"
2020-12-26,"37,137"
2020-12-27,"37,103"
2020-12-28,"46,912"
2020-12-29,"35,747"
2020-12-30,"22,488"
2020-12-31,"24,535"
2021-01-01,"22,274"
2021-01-02,"23,631"
2021-01-03,"21,809"
2021-01-04,"32,957"
2021-01-05,"29,033"
2021-01-06,"22,261"
2021-01-07,"5,549"
2021-01-08,"8,029"
2021-01-09,"9,082"
2021-01-10,"11,116"
2021-01-11,"19,525"
2021-01-12,"12,827"
2021-01-13,"19,780"
2021-01-14,"32,603"
2021-01-15,"32,429"
2021-01-16,"22,524"
2021-01-17,"18,081"
2021-01-18,"18,110"
2021-01-19,"26,940"
2021-01-20,"36,983"
2021-01-21,"17,451"
2021-01-22,"34,963"
2021-01-23,"43,368"
2021-01-24,"50,024"
2021-01-25,"54,669"
2021-01-26,"26,272"
2021-01-27,"45,639"
2021-01-28,"22,745"
2021-01-29,"24,435"
2021-01-30,"28,379"
2021-01-31,"38,533"
2020-06-01,"99,930"
2020-06-02,"79,833"
2020-06-03,"103,887"
2020-06-04,"97,656"
2020-06-05,"107,343"
2020-06-06,"105,033"
2020-06-07,"101,848"
2020-06-08,"103,582"
2020-06-09,"102,084"
2020-06-10,"58,133"
2020-06-11,"100,031"
2020-06-12,"109,210"
2020-06-13,"90,396"
2020-06-14,"94,406"
2020-06-15,"108,320"
2020-06-16,"106,519"
2020-06-17,"107,723"
2020-06-18,"110,377"
2020-06-19,"109,124"
2020-06-20,"102,333"
2020-06-21,"95,453"
2020-06-22,"98,394"
2020-06-23,"103,214"
2020-06-24,"19,756"
2020-06-25,"46,415"
2020-06-26,"96,150"
2020-06-27,"107,001"
2020-06-28,"98,568"
2020-06-29,"70,053"
2020-06-30,"38,086"
2019-06-01,79878
2019-06-02,77091
2019-06-03,82911
2019-06-04,83576
2019-06-05,81515
2019-06-06,36945
2019-06-07,54701
2019-06-08,83736
2019-06-09,60371
2019-06-10,63032
2019-06-11,85776
2019-06-12,83506
2019-06-13,81540
2019-06-14,85533
2019-06-15,71883
2019-06-16,81803
2019-06-17,86987
2019-06-18,42393
2019-06-19,79958
2019-06-20,88226
2019-06-21,81089
2019-06-22,85728
2019-06-23,79269
2019-06-24,88432
2019-06-25,88096
2019-06-26,81274
2019-06-27,79234
2019-06-28,77056
2019-06-29,67346
2019-06-30,74994
2019-07-01,92814
2019-07-02,94783
2019-07-03,94773
2019-07-04,90397
2019-07-05,83994
2019-07-06,70246
2019-07-07,75116
2019-07-08,93609
2019-07-09,95859
2019-07-10,43842
2019-07-11,65003
2019-07-12,94473
2019-07-13,81067
2019-07-14,74259
2019-07-15,57917
2019-07-16,82285
2019-07-17,84261
2019-07-18,81613
2019-07-19,77449
2019-07-20,56648
2019-07-21,46130
2019-07-22,82781
2019-07-23,83206
2019-07-24,59020
2019-07-25,34778
2019-07-26,22789
2019-07-27,50955
2019-07-28,23342
2019-07-29,74046
2019-07-30,69757
2019-07-31,26874
2019-08-01,59803
2019-08-02,67510
2019-08-03,49047
2019-08-04,46477
2019-08-05,65085
2019-08-06,66703
2019-08-07,50804
2019-08-08,69748
2019-08-09,67491
2019-08-10,54162
2019-08-11,43351
2019-08-12,24386
2019-08-13,63749
2019-08-14,65452
2019-08-15,32229
2019-08-16,71161
2019-08-17,72259
2019-08-18,72588
2019-08-19,81832
2019-08-20,82116
2019-08-21,56957
2019-08-22,82232
2019-08-23,86624
2019-08-24,85630
2019-08-25,81028
2019-08-26,87770
2019-08-27,83107
2019-08-28,88718
2019-08-29,65708
2019-08-30,86733
2019-08-31,90724
2019-09-01,89191
2019-09-02,92510
2019-09-03,74801
2019-09-04,27168
2019-09-05,33929
2019-09-06,16631
2019-09-08,52055
2019-09-09,68370
2019-09-10,18265
2019-09-11,75328
2019-09-12,32059
2019-09-13,57065
2019-09-14,48756
2019-09-15,82678
2019-09-16,89807
2019-09-17,92153
2019-09-18,92045
2019-09-19,91554
2019-09-20,94246
2019-09-21,86676
2019-09-22,41173
2019-09-23,92006
2019-09-24,93546
2019-09-25,92665
2019-09-26,92247
2019-09-27,93345
2019-09-28,89550
2019-09-29,86133
2019-09-30,88270
2019-10-01,88575
2019-10-02,27368
2019-10-03,75438
2019-10-04,94912
2019-10-05,83020
2019-10-06,82855
2019-10-07,21875
2019-10-08,81524
2019-10-09,85638
2019-10-10,81742
2019-10-11,92155
2019-10-12,84843
2019-10-13,84368
2019-10-14,79509
2019-10-15,85516
2019-10-16,84549
2019-10-17,85596
2019-10-18,89551
2019-10-19,87553
2019-10-20,79300
2019-10-21,84488
2019-10-22,88478
2019-10-23,87991
2019-10-24,89520
2019-10-25,84617
2019-10-26,67578
2019-10-27,65774
2019-10-28,67175
2019-10-29,71135
2019-10-30,76898
2019-10-31,76860
2019-11-01,77604
2019-11-02,68223
2019-11-03,67452
2019-11-04,78874
2019-11-05,78675
2019-11-06,74812
2019-11-07,68315
2019-11-08,65110
2019-11-09,60693
2019-11-10,40503
2019-11-11,58957
2019-11-12,68210
2019-11-13,39198
2019-11-14,45095
2019-11-15,15069
2019-11-16,45493
2019-11-17,11303
2019-11-18,37496
2019-11-19,40356
2019-11-20,42026
2019-11-21,47091
2019-11-22,56700
2019-11-23,54283
2019-11-24,24304
2019-11-25,42677
2019-11-26,52464
2019-11-27,46248
2019-11-28,46983
2019-11-29,44689
2019-11-30,38366
2019-12-01,"9,680"
2019-12-02,"34,397"
2019-12-03,"33,580"
2019-12-04,"38,576"
2019-12-05,"29,277"
2019-12-06,"26,723"
2019-12-07,"23,013"
2019-12-08,"22,597"
2019-12-09,"34,140"
2019-12-10,"33,275"
2019-12-11,"34,049"
2019-12-12,"33,704"
2019-12-13,"34,258"
2019-12-14,"27,424"
2019-12-15,"29,692"
2019-12-16,"41,750"
2019-12-17,"25,644"
2019-12-18,"34,899"
2019-12-19,"32,972"
2019-12-20,"32,521"
2019-12-21,"20,302"
2019-12-22,"24,430"
2019-12-23,"29,028"
2019-12-24,"33,334"
2019-12-25,"22,428"
2019-12-26,"25,007"
2019-12-27,"29,243"
2019-12-28,"26,046"
2019-12-29,"18,701"
2019-12-30,"22,952"
2019-12-31,"18,436"
2019-07-05,"83,994"
2019-07-06,"70,246"
2019-07-07,"75,116"
2019-07-08,"93,609"
2019-07-09,"95,859"
2019-07-10,"43,842"
2019-07-11,"65,003"
2019-07-12,"94,473"
2019-07-13,"81,067"
2019-07-14,"74,259"
2019-07-15,"57,917"
2019-07-16,"82,285"
2019-07-17,"84,261"
2019-07-18,"81,613"
2019-07-19,"77,449"
2019-07-20,"56,648"
2019-07-21,"46,130"
2019-07-22,"82,781"
2019-07-23,"83,206"
2019-07-24,"59,020"
2019-07-25,"34,778"
2019-07-26,"22,789"
2019-07-27,"50,955"
2019-07-28,"23,342"
2019-07-29,"74,046"
2019-07-30,"69,757"
2019-07-31,"26,874"
2019-08-01,"59,803"
2019-08-02,"67,510"
2019-08-03,"49,047"
2019-08-04,"46,477"
2019-08-05,"65,085"
2019-08-06,"66,703"
2019-08-07,"50,804"
2019-08-08,"69,748"
2019-08-09,"67,491"
2019-08-10,"54,162"
2019-08-11,"43,351"
2019-08-12,"24,386"
2019-08-13,"63,749"
2019-08-14,"65,452"
2019-08-15,"32,229"
2019-08-16,"71,161"
2019-08-17,"72,259"
2019-08-18,"72,588"
2019-08-19,"81,832"
2019-08-20,"82,116"
2019-08-21,"56,957"
2019-08-22,"82,232"
2019-08-23,"86,624"
2019-08-24,"85,630"
2019-08-25,"81,028"
2019-08-26,"87,770"
2019-08-27,"83,107"
2019-08-28,"88,718"
2019-08-29,"65,708"
2019-08-30,"86,733"
2019-08-31,"90,724"
2019-09-01,"89,191"
2019-09-02,"92,510"
2019-09-03,"74,801"
2019-09-04,"27,168"
2019-09-05,"33,929"
2019-09-06,"16,631"
2019-09-08,"52,055"
2019-09-09,"68,370"
2019-09-10,"18,265"
2019-09-11,"75,328"
2019-09-12,"32,059"
2019-09-13,"57,065"
2019-09-14,"48,756"
2019-09-15,"82,678"
2019-09-16,"89,807"
2019-09-17,"92,153"
2019-09-18,"92,045"
2019-09-19,"91,554"
2019-09-20,"94,246"
2019-09-21,"86,676"
2019-09-22,"41,173"
2019-09-23,"92,006"
2019-09-24,"93,546"
2019-09-25,"92,665"
2019-09-26,"92,247"
2019-09-27,"93,345"
2019-09-28,"89,550"
2019-09-29,"86,133"
2019-09-30,"88,270"
2019-10-01,"88,575"
2019-10-02,"27,368"
2019-10-03,"75,438"
2019-10-04,"94,912"
2019-10-05,"83,020"
2019-10-06,"82,855"
2019-10-07,"21,875"
2019-10-08,"81,524"
2019-10-09,"85,638"
2019-10-10,"81,742"
2019-10-11,"92,155"
2019-10-12,"84,843"
2019-10-13,"84,368"
2019-10-14,"79,509"
2019-10-15,"85,516"
2019-10-16,"84,549"
2019-10-17,"85,596"
2019-10-18,"89,551"
2019-10-19,"87,553"
2019-10-20,"79,300"
2019-10-21,"84,488"
2019-10-22,"88,478"
2019-10-23,"87,991"
2019-10-24,"89,520"
2019-10-25,"84,617"
2019-10-26,"67,578"
2019-10-27,"65,774"
2019-10-28,"67,175"
2019-10-29,"71,135"
2019-10-30,"76,898"
2019-10-31,"76,860"
2019-11-01,"77,604"
2019-11-02,"68,223"
2019-11-03,"67,452"
2019-11-04,"78,874"
2019-11-05,"78,675"
2019-11-06,"74,812"
2019-11-07,"68,315"
2019-11-08,"65,110"
2019-11-09,"60,693"
2019-11-10,"40,503"
2019-11-11,"58,957"
2019-11-12,"68,210"
2019-11-13,"39,198"
2019-11-14,"45,095"
2019-11-15,"15,069"
2019-11-16,"45,493"
2019-11-17,"11,303"
2019-11-18,"37,496"
2019-11-19,"40,356"
2019-11-20,"42,026"
2019-11-21,"47,091"
2019-11-22,"56,700"
2019-11-23,"54,283"
2019-11-24,"24,304"
2019-11-25,"42,677"
2019-11-26,"52,464"
2019-11-27,"46,248"
2019-11-28,"46,983"
2019-11-29,"44,689"
2019-11-30,"38,366"
2020-01-01,"16,236"
2020-01-02,"28,890"
2020-01-03,"30,809"
2020-01-04,"25,709"
2020-01-05,"23,206"
2020-01-06,"15,381"
2020-01-07,"1,920"
2020-01-08,"21,522"
2020-01-09,"28,711"
2020-01-10,"29,395"
2020-01-11,"23,246"
2020-01-12,"19,842"
2020-01-13,"26,786"
2020-01-14,"28,435"
2020-01-15,"28,391"
2020-01-16,"29,026"
2020-01-17,"29,626"
2020-01-18,"24,635"
2020-01-19,"17,682"
2020-01-20,"28,611"
2020-01-21,"30,618"
2020-01-22,"33,011"
2020-01-23,"34,466"
2020-01-24,"19,230"
2020-01-25,"15,233"
2020-01-26,"22,685"
2020-01-27,"16,836"
2020-01-28,"32,098"
2020-01-29,"37,990"
2020-01-30,"38,079"
2020-01-31,"35,857"
2020-02-01,"27,151"
2020-02-02,"22,384"
2020-02-03,"29,681"
2020-02-04,"23,006"
2020-02-05,"20,311"
2020-02-06,"22,401"
2020-02-07,"26,540"
2020-02-08,"22,046"
2020-02-09,"21,099"
2020-02-10,"33,956"
2020-02-11,"40,563"
2020-02-12,"10,698"
2020-02-13,"34,375"
2020-02-14,"41,229"
2020-02-15,"29,837"
2020-02-16,"6,798"
2020-02-17,"13,777"
2020-02-18,"19,773"
2020-02-19,"32,721"
2020-02-20,"36,027"
2020-02-21,"29,779"
2020-02-22,"18,290"
2020-02-23,"25,159"
2020-02-24,"36,094"
2020-02-25,"15,939"
2020-02-26,"35,773"
2020-02-27,"38,526"
2020-02-28,"12,644"
2020-02-29,"35,697"
2020-03-01,"24,431"
2020-03-02,"36,641"
2020-03-03,"39,447"
2020-03-04,"31,269"
2020-03-05,"35,851"
2020-03-06,"40,897"
2020-03-07,"42,379"
2020-03-08,"54,245"
2020-03-09,"53,020"
2020-03-10,"10,606"
2020-03-11,"45,245"
2020-03-12,"50,094"
2020-03-13,"43,554"
2020-03-14,"42,569"
2020-03-15,"33,215"
2020-03-16,"42,441"
2020-03-17,"47,241"
2020-03-18,"62,119"
2020-03-19,"24,256"
2020-03-20,"53,839"
2020-03-21,"63,759"
2020-03-22,"64,436"
2020-03-23,"63,686"
2020-03-24,"69,998"
2020-03-25,"73,460"
2020-03-26,"47,633"
2020-03-27,"60,183"
2020-03-28,"64,677"
2020-03-29,"68,430"
2020-03-30,"69,293"
2020-03-31,"74,621"
2020-04-01,"70,258"
2020-04-02,"72,129"
2020-04-03,"74,856"
2020-04-04,"66,405"
2020-04-05,"64,111"
2020-04-06,"68,414"
2020-04-07,"73,685"
2020-04-08,"72,863"
2020-04-09,"73,382"
2020-04-10,"75,021"
2020-04-11,"75,637"
2020-04-12,"63,335"
2020-04-13,"77,604"
2020-04-14,"83,798"
2020-04-15,"89,789"
2020-04-16,"83,970"
2020-04-17,"35,656"
2020-04-18,"92,829"
2020-04-19,"29,375"
2020-04-20,"56,129"
2020-04-21,"58,746"
2020-04-22,"51,337"
2020-04-23,"64,765"
2020-04-24,"72,883"
2020-04-25,"78,419"
2020-04-26,"82,600"
2020-04-27,"77,149"
2020-04-28,"86,541"
2020-04-29,"88,827"
2020-04-30,"96,877"
2020-05-01,"93,249"
2020-05-02,"88,508"
2020-05-03,"89,287"
2020-05-04,"93,579"
2020-05-05,"88,219"
2020-05-06,"88,561"
2020-05-07,"90,645"
2020-05-08,"63,474"
2020-05-09,"7,600"
2020-05-10,"65,932"
2020-05-11,"76,042"
2020-05-12,"78,200"
2020-05-13,"89,183"
2020-05-14,"89,149"
2020-05-15,"13,782"
2020-05-16,"64,549"
2020-05-17,"89,449"
2020-05-18,"36,761"
2020-05-19,"55,556"
2020-05-20,"88,257"
2020-05-21,"93,930"
2020-05-22,"89,317"
2020-05-23,"101,256"
2020-05-24,"80,357"
2020-05-25,"92,531"
2020-05-26,"68,498"
2020-05-27,"101,949"
2020-05-28,"99,792"
2020-05-29,"103,999"
2020-05-30,"105,172"
2020-05-31,"93,547"
2019-04-01,37660
2019-04-02,42029
2019-04-03,43257
2019-04-04,45681
2019-04-05,45643
2019-04-06,25902
2019-04-07,55943
2019-04-08,52643
2019-04-09,24734
2019-04-10,26421
2019-04-11,51013
2019-04-12,55125
2019-04-13,57020
2019-04-14,28467
2019-04-15,55422
2019-04-16,60566
2019-04-17,62522
2019-04-18,50439
2019-04-19,60925
2019-04-20,51068
2019-04-21,53339
2019-04-22,63995
2019-04-23,58811
2019-04-24,55815
2019-04-25,22471
2019-04-26,26484
2019-04-27,65124
2019-04-28,56012
2019-04-29,63256
2019-04-30,70213
2019-05-01,76439
2019-05-02,72430
2019-05-03,73647
